"TITLE"; "LOCATION"; "TYPE"; "URL"; "SALARY"
"Corporate Accountant - 19537"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Corporate-Accountant-19537"; "$75,000.00/yr"
"Collections/AR Specialist - 19538"; "North York"; ""; "http://jobs.lannickgroup.com//jobs/Collections-AR-Specialist-19538"; "$50,000.00/yr"
"Senior Hadoop Administrator - 6 Month Contract - 19447"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Hadoop-Administrator-Month-Contract-19447"; ""
"Manager of Internal Audit - 19499"; "Vaughan"; ""; "http://jobs.lannickgroup.com//jobs/Manager-of-Internal-Audit-19499"; "$120,000.00/yr"
"Manager of Finance - 19522"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Manager-of-Finance-19522"; "$55.00/hr"
"Financial Analyst – 18 Month Contract - 19523"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Financial-Analyst-Month-Contract-19523"; "$40.00/hr"
"Tax Technician - 19527"; "North York"; ""; "http://jobs.lannickgroup.com//jobs/Tax-Technician-19527"; "$70,000.00/yr"
"Analyst, Procurement & Fleet Management - 3-6 months, potential for perm - 19531"; "North York"; ""; "http://jobs.lannickgroup.com//jobs/Analyst-Procurement-Fleet-Management-months-potential-for-perm-19531"; "$30.00/hr"
"VP, Corporate Audit Services - 18035"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/VP-Corporate-Audit-Services-18035"; "$250,000.00/yr"
"Senior Process Analyst - 19506"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Process-Analyst-19506"; ""
"Software Developer - 3~6 month contract - 19509"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Software-Developer-month-contract-19509"; ""
"Senior Financial Analyst FP&A - 19510"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Financial-Analyst-FP-A-19510"; "$40.00/hr"
"Servicing Analyst – 6 Month Contract - 19513"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Servicing-Analyst-Month-Contract-19513"; "$18.00/hr"
"Team Lead, Finance - 19515"; "Markham"; ""; "http://jobs.lannickgroup.com//jobs/Team-Lead-Finance-19515"; "$80,000.00/yr"
"Senior Consultant -ERP System Functional Lead - 19478"; "Mississauga"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Consultant-ERP-System-Functional-Lead-19478"; "$60.00+/hr"
"Sr. .Net Developer - 2 week contract - 19450"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Sr-Net-Developer-week-contract-19450"; ""
"Accounts Payable Supervisor - 19503"; "Etobicoke"; ""; "http://jobs.lannickgroup.com//jobs/Accounts-Payable-Supervisor-19503"; "$75,000.00/yr"
"Servicing Analyst – 5 Month Contract - 19498"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Servicing-Analyst-Month-Contract-19498"; "$15.00/hr"
"Senior Accounting Manager - 19479"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Accounting-Manager-19479"; ""
"Lease/Real Estate Analyst - 19480"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Lease-Real-Estate-Analyst-19480"; "$40.00+/hr"
"Senior Financial Analyst - 19481"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Financial-Analyst-19481"; "$80,000.00/yr"
"Senior Manager, Finance - 19482"; "Kitchener"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Manager-Finance-19482"; "$120,000.00/yr"
"SpotFire Consultant - 19477"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/SpotFire-Consultant-19477"; ""
"Finance Manager - 19468"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Finance-Manager-19468"; "$100,000.00/yr"
"Manager of Finance - 18570"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Manager-of-Finance-18570"; "$120,000.00/yr"
"Senior Tax Consultant - 19041"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Tax-Consultant-19041"; "$95,000.00/yr"
"Collections Supervisor - 18949"; "Mississauga"; ""; "http://jobs.lannickgroup.com//jobs/Collections-Supervisor-18949"; "$60,000.00/yr"
"Property Accountant - 6 Month Contract - 18995"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Property-Accountant-Month-Contract-18995"; "$25.00+/hr"
"Payroll, Pension and Benefits Specialist – 6 months - 19369"; "Mississauga"; ""; "http://jobs.lannickgroup.com//jobs/Payroll-Pension-and-Benefits-Specialist-months-19369"; "$30.00/hr"
"Conversion Specialist - 19407"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Conversion-Specialist-19407"; ""
"MS Dynamics GP Specialist - 19085"; "Mississauga"; ""; "http://jobs.lannickgroup.com//jobs/MS-Dynamics-GP-Specialist-19085"; "$72,000.00/yr"
"Full Stack Java Developer - 18718"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Full-Stack-Java-Developer-18718"; "$105,000.00/yr"
