"TITLE"; "LOCATION"; "TYPE"; "URL"
"Senior Operations Engineer(DevOps)"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4928"
"Senior Backend Engineer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4929"
"Senior Software Engineer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4930"
"Senior Project Manager"; "Mississauga, Ontario"; "Contract"; "http://gurulink.ca/jobview.asp?JobID=4931"
"Sr. DBA"; "North York, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4924"
"Software Architect"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4926"
"Principal UI Engineer"; "Mountain View, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4923"
"Android Developer"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4912"
"Product Designer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4909"
"Sr. React Developer"; "Toronto, Ontario"; "Contract"; "http://gurulink.ca/jobview.asp?JobID=4907"
"Senior Software Developer"; "Toronto or London, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4906"
"Senior Scala Software Engineer"; "San Francisco Bay Area, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4905"
"Mobile Developer (React Native)"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4894"
"Senior Scala Machine Learning Engin"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4896"
"Senior Senior Software Engineer"; "San Francisco Bay Area, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4897"
"Développeur .NET / .NET Developer ("; "Montreal, Quebec"; "Contract"; "http://gurulink.ca/jobview.asp?JobID=4888"
"Analyste QA / QA Analyst"; "Downtown Montreal, Quebec"; "Contract"; "http://gurulink.ca/jobview.asp?JobID=4889"
"Full Stack Developer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4891"
"Backend Scala Engineer"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4885"
"VP of Engineering"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4879"
"Technical Lead"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4880"
"C++ Developer"; "Mountain View, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4877"
"Full Stack Rails Developer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4873"
"Angular.JS Developer"; "Toronto, Ontario"; "Contract"; "http://gurulink.ca/jobview.asp?JobID=4238"
"Project Manager"; "Toronto, Ontario"; "Contract"; "http://gurulink.ca/jobview.asp?JobID=4871"
"Software Engineer - Data Platform"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4865"
"Front-End ReactJS Engineer"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4860"
"A/V Field Engineer / Programmer"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4691"
"Security Analyst I (SOC)"; "TBD, Downtown Montreal, Quebec"; "Contract and Permanent"; "http://gurulink.ca/jobview.asp?JobID=4850"
"Security Analyst II (SOC)"; "TBD, Downtown Montreal, Quebec"; "Contract and Permanent"; "http://gurulink.ca/jobview.asp?JobID=4851"
"Security Consultant"; "TBD, Downtown Montreal, Quebec"; "Contract and Permanent"; "http://gurulink.ca/jobview.asp?JobID=4852"
"Technical Team Lead"; "North York, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4532"
"Delivery Manager (Professional Serv"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=2763"
"IT Recruiter / Recruteur en TI"; "Montréal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=1709"
"Software Integration Specialist"; "Montreal, Quebec"; "Contract and Permanent"; "http://gurulink.ca/jobview.asp?JobID=3760"
"Senior Java Developer"; "Ottawa, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4829"
"Senior Java Developer"; "Toronto, Ontario, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4825"
"Senior Developer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4733"
"Senior Software Engineer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4039"
"QA Lead"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4815"
"Product Management"; ", Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4806"
"Robotics Software Engineer"; "Mountain View, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4802"
"Intermediate Front-End Developer (A"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4801"
"Intermediate FullStack developer (7"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4798"
"DevOps Engineer"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4791"
"Front-End Engineer"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4792"
"Machine Learning Engineer"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4793"
"Data Engineer"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4795"
"Senior Cloud Architect"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4788"
"Product Manager"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4784"
"Product Manager"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4695"
"Senior Technical Operations - Syste"; "Richmond Hill, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=3210"
"Account Manager"; "Vancouver, British Columbia"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4775"
"Intermediate ETL programmer"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4771"
"Front End Engineer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4772"
"Full Stack Engineer"; "toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4451"
"Network Security Engineer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=3808"
"Senior Technical/Functional Consult"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4770"
"Senior Platform Engineer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4761"
"Application Developer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4765"
"Intermediate Java developer"; "Montréal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4757"
"Intermediate Front end developer (j"; "Montréal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4758"
"Android Developer"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4751"
"Intermediate Disaster Recovery Coor"; "Montréal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4753"
"API Engineer"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4750"
"Software Developer"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4747"
"Software Engineer"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4748"
"Software Engineer in Test"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4740"
"Data Engineer"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4741"
"iOS Developer"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4742"
"Site Reliability Engineer"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4743"
"Data Engineer"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4744"
"Senior System Admin"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4735"
"Senior Security Consultant"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4725"
"Full-Stack PHP Developer"; "Montreal, Quebec"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4707"
"Data Engineer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4704"
"Product Engineer (Linux)"; "Richmond Hill, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4372"
"Site Reliability Engineer/DevOps"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4310"
"Software Engineer"; "Toronto, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4294"
"Frontend Engineer"; "San Francisco, California"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4268"
"Full Stack (Java) Developer"; "North York, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4675"
"Software Engineer"; ", Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4663"
"Product Manager"; "Mississauga, Ontario"; "Permanent"; "http://gurulink.ca/jobview.asp?JobID=4660"
